Country,State,District,City,Pincode,Urban_Rural
India,Andhra Pradesh,Anantapur,Nellore,118346,Urban
India,Andhra Pradesh,Anantapur,Guntur,116236,Urban
India,Andhra Pradesh,Anantapur,Guntur,110083,Urban
India,Andhra Pradesh,Anantapur,Guntur,117212,Urban
India,Andhra Pradesh,Anantapur,Guntur,110975,Rural
India,Andhra Pradesh,Anantapur,Guntur,115054,Urban
India,Andhra Pradesh,Anantapur,Guntur,119917,Rural
India,Andhra Pradesh,Anantapur,Guntur,115855,Urban
India,Andhra Pradesh,Anantapur,Hindupur,112357,Urban
India,Andhra Pradesh,Anantapur,Hindupur,118126,Urban
India,Andhra Pradesh,Anantapur,Hindupur,114631,Rural
India,Andhra Pradesh,Anantapur,Hindupur,119407,Urban
India,Andhra Pradesh,Anantapur,Hindupur,111311,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,114317,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,110228,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,118088,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,113243,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,111917,Urban
India,Andhra Pradesh,Anantapur,Vijayawada,111745,Rural
India,Andhra Pradesh,Anantapur,Vijayawada,119030,Rural
India,Andhra Pradesh,Anantapur,Vijayawada,117638,Rural
India,Andhra Pradesh,Anantapur,Nandyal,112163,Urban
India,Andhra Pradesh,Anantapur,Nandyal,111509,Urban
India,Andhra Pradesh,Anantapur,Nandyal,119552,Urban
India,Andhra Pradesh,Anantapur,Nandyal,116436,Rural
India,Andhra Pradesh,Anantapur,Nandyal,115174,Urban
India,Andhra Pradesh,Chittoor,Adoni,111919,Urban
India,Andhra Pradesh,Chittoor,Adoni,116350,Urban
India,Andhra Pradesh,Chittoor,Adoni,116775,Urban
India,Andhra Pradesh,Chittoor,Adoni,118108,Rural
India,Andhra Pradesh,Chittoor,Adoni,117081,Urban
India,Andhra Pradesh,Chittoor,Tirupati,117518,Urban
India,Andhra Pradesh,Chittoor,Tirupati,114194,Urban
India,Andhra Pradesh,Chittoor,Tirupati,119125,Urban
India,Andhra Pradesh,Chittoor,Tirupati,116384,Urban
India,Andhra Pradesh,Chittoor,Tirupati,114023,Urban
India,Andhra Pradesh,Chittoor,Tirupati,114588,Urban
India,Andhra Pradesh,Chittoor,Tirupati,114986,Rural
India,Andhra Pradesh,Chittoor,Tirupati,114997,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,117969,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,117357,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,119653,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,114999,Urban
India,Andhra Pradesh,Chittoor,Visakhapatnam,113575,Urban
India,Andhra Pradesh,Chittoor,Kadapa,119237,Rural
India,Andhra Pradesh,Chittoor,Kadapa,111609,Urban
India,Andhra Pradesh,Chittoor,Kadapa,112793,Urban
India,Andhra Pradesh,Chittoor,Kadapa,112726,Rural
India,Andhra Pradesh,Chittoor,Kakinada,114219,Urban
India,Andhra Pradesh,Chittoor,Kakinada,111211,Urban
India,Andhra Pradesh,Chittoor,Kakinada,119817,Urban
India,Andhra Pradesh,Chittoor,Kakinada,111389,Urban
India,Andhra Pradesh,Chittoor,Kakinada,110596,Rural
India,Andhra Pradesh,Chittoor,Hindupur,113157,Rural
India,Andhra Pradesh,Chittoor,Hindupur,118828,Urban
India,Andhra Pradesh,Chittoor,Eluru,113681,Urban
India,Andhra Pradesh,Chittoor,Eluru,119847,Rural
India,Andhra Pradesh,Chittoor,Eluru,119087,Urban
India,Andhra Pradesh,Chittoor,Eluru,116676,Urban
India,Andhra Pradesh,Chittoor,Eluru,112280,Urban
India,Andhra Pradesh,Chittoor,Eluru,112289,Rural
India,Andhra Pradesh,Chittoor,Vijayawada,116837,Urban
India,Andhra Pradesh,Chittoor,Vijayawada,111687,Urban
India,Andhra Pradesh,Chittoor,Kurnool,118427,Rural
India,Andhra Pradesh,Chittoor,Kurnool,114413,Rural
India,Andhra Pradesh,Chittoor,Kurnool,112070,Urban
India,Andhra Pradesh,Chittoor,Kurnool,110608,Rural
India,Andhra Pradesh,Chittoor,Kurnool,117054,Urban
India,Andhra Pradesh,Chittoor,Kurnool,116205,Urban
India,Andhra Pradesh,Chittoor,Kurnool,113188,Urban
India,Andhra Pradesh,Chittoor,Kurnool,110075,Urban
India,Andhra Pradesh,Chittoor,Nellore,110830,Urban
India,Andhra Pradesh,Chittoor,Nellore,116341,Urban
India,Andhra Pradesh,Chittoor,Nellore,117696,Urban
India,Andhra Pradesh,Chittoor,Nellore,110821,Urban
India,Andhra Pradesh,East Godavari,Kadapa,110876,Urban
India,Andhra Pradesh,East Godavari,Kadapa,118910,Rural
India,Andhra Pradesh,East Godavari,Kadapa,115434,Urban
India,Andhra Pradesh,East Godavari,Kadapa,115721,Rural
India,Andhra Pradesh,East Godavari,Kadapa,113186,Rural
India,Andhra Pradesh,East Godavari,Nellore,117117,Urban
India,Andhra Pradesh,East Godavari,Nellore,112531,Urban
India,Andhra Pradesh,East Godavari,Nellore,112018,Urban
India,Andhra Pradesh,East Godavari,Nellore,118892,Urban
India,Andhra Pradesh,East Godavari,Nellore,118947,Urban
India,Andhra Pradesh,East Godavari,Nellore,113033,Urban
India,Andhra Pradesh,East Godavari,Nellore,119583,Urban
India,Andhra Pradesh,East Godavari,Nellore,112925,Urban
India,Andhra Pradesh,East Godavari,Tirupati,119860,Urban
India,Andhra Pradesh,East Godavari,Tirupati,112812,Urban
India,Andhra Pradesh,East Godavari,Tirupati,112982,Rural
India,Andhra Pradesh,East Godavari,Tirupati,110122,Urban
India,Andhra Pradesh,East Godavari,Tirupati,110963,Urban
India,Andhra Pradesh,East Godavari,Tirupati,113579,Urban
India,Andhra Pradesh,East Godavari,Tirupati,113529,Urban
India,Andhra Pradesh,East Godavari,Tirupati,111630,Urban
India,Andhra Pradesh,East Godavari,Anantapur,114417,Urban
India,Andhra Pradesh,East Godavari,Anantapur,116735,Urban
India,Andhra Pradesh,East Godavari,Anantapur,119079,Rural
India,Andhra Pradesh,East Godavari,Anantapur,110352,Urban
India,Andhra Pradesh,East Godavari,Anantapur,119777,Urban
India,Andhra Pradesh,East Godavari,Proddatur,119741,Urban
India,Andhra Pradesh,East Godavari,Proddatur,114120,Urban
India,Andhra Pradesh,East Godavari,Proddatur,119252,Urban
India,Andhra Pradesh,East Godavari,Proddatur,113291,Urban
India,Andhra Pradesh,East Godavari,Hindupur,118870,Urban
India,Andhra Pradesh,East Godavari,Hindupur,116812,Urban
India,Andhra Pradesh,Guntur,Ongole,115793,Urban
India,Andhra Pradesh,Guntur,Ongole,116008,Urban
India,Andhra Pradesh,Guntur,Ongole,111417,Rural
India,Andhra Pradesh,Guntur,Ongole,114453,Urban
India,Andhra Pradesh,Guntur,Ongole,110878,Urban
India,Andhra Pradesh,Guntur,Ongole,119503,Rural
India,Andhra Pradesh,Guntur,Ongole,118189,Rural
India,Andhra Pradesh,Guntur,Guntur,110898,Urban
India,Andhra Pradesh,Guntur,Guntur,116982,Urban
India,Andhra Pradesh,Guntur,Guntur,115876,Urban
India,Andhra Pradesh,Guntur,Guntur,110086,Urban
India,Andhra Pradesh,Guntur,Guntur,119106,Urban
India,Andhra Pradesh,Guntur,Vijayawada,117264,Urban
India,Andhra Pradesh,Guntur,Vijayawada,110015,Urban
India,Andhra Pradesh,Guntur,Vijayawada,119407,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,119959,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,111783,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,112651,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,113471,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,110531,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,119150,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,116451,Urban
India,Andhra Pradesh,Guntur,Kurnool,110370,Rural
India,Andhra Pradesh,Guntur,Kurnool,114405,Urban
India,Andhra Pradesh,Guntur,Kakinada,113283,Urban
India,Andhra Pradesh,Guntur,Kakinada,111574,Urban
India,Andhra Pradesh,Guntur,Kakinada,111411,Rural
India,Andhra Pradesh,Guntur,Kakinada,115239,Urban
India,Andhra Pradesh,Guntur,Kakinada,111502,Rural
India,Andhra Pradesh,Guntur,Kakinada,115518,Urban
India,Andhra Pradesh,Krishna,Tenali,116909,Urban
India,Andhra Pradesh,Krishna,Tenali,119911,Rural
India,Andhra Pradesh,Krishna,Kurnool,110132,Urban
India,Andhra Pradesh,Krishna,Kurnool,116495,Urban
India,Andhra Pradesh,Krishna,Kurnool,114718,Rural
India,Andhra Pradesh,Krishna,Visakhapatnam,111283,Urban
India,Andhra Pradesh,Krishna,Visakhapatnam,117859,Urban
India,Andhra Pradesh,Krishna,Visakhapatnam,118985,Rural
India,Andhra Pradesh,Krishna,Vijayawada,116800,Urban
India,Andhra Pradesh,Krishna,Vijayawada,113004,Urban
India,Andhra Pradesh,Krishna,Vijayawada,118553,Urban
India,Andhra Pradesh,Krishna,Vijayawada,112437,Urban
India,Andhra Pradesh,Krishna,Vijayawada,110790,Urban
India,Andhra Pradesh,Krishna,Vijayawada,112959,Urban
India,Andhra Pradesh,Krishna,Anantapur,118630,Urban
India,Andhra Pradesh,Krishna,Anantapur,118742,Urban
India,Andhra Pradesh,Krishna,Anantapur,117901,Urban
India,Andhra Pradesh,Krishna,Anantapur,110842,Urban
India,Andhra Pradesh,Krishna,Anantapur,112284,Urban
India,Andhra Pradesh,Krishna,Anantapur,116251,Rural
India,Andhra Pradesh,Krishna,Anantapur,113642,Urban
India,Andhra Pradesh,Krishna,Anantapur,119889,Rural
India,Andhra Pradesh,Krishna,Nellore,112369,Urban
India,Andhra Pradesh,Krishna,Nellore,118670,Urban
India,Andhra Pradesh,Krishna,Nellore,112642,Rural
India,Andhra Pradesh,Krishna,Nellore,114565,Urban
India,Andhra Pradesh,Krishna,Nellore,112978,Urban
India,Andhra Pradesh,Krishna,Nellore,116863,Rural
India,Andhra Pradesh,Krishna,Nellore,114943,Urban
India,Andhra Pradesh,Krishna,Nellore,110842,Urban
India,Andhra Pradesh,Krishna,Proddatur,110065,Rural
India,Andhra Pradesh,Krishna,Proddatur,118873,Urban
India,Andhra Pradesh,Krishna,Proddatur,115982,Rural
India,Andhra Pradesh,Krishna,Proddatur,116828,Urban
India,Andhra Pradesh,Krishna,Proddatur,111790,Urban
India,Andhra Pradesh,Krishna,Kakinada,118843,Urban
India,Andhra Pradesh,Krishna,Kakinada,119481,Rural
India,Andhra Pradesh,Krishna,Kakinada,112358,Urban
India,Andhra Pradesh,Krishna,Kakinada,112033,Urban
India,Andhra Pradesh,Krishna,Kakinada,110884,Urban
India,Andhra Pradesh,Krishna,Kakinada,117794,Rural
India,Andhra Pradesh,Krishna,Kakinada,117944,Urban
India,Andhra Pradesh,Kurnool,Adoni,119397,Urban
India,Andhra Pradesh,Kurnool,Adoni,110116,Rural
India,Andhra Pradesh,Kurnool,Adoni,116223,Urban
India,Andhra Pradesh,Kurnool,Adoni,119622,Urban
India,Andhra Pradesh,Kurnool,Nellore,117058,Rural
India,Andhra Pradesh,Kurnool,Nellore,116015,Urban
India,Andhra Pradesh,Kurnool,Nellore,118476,Rural
India,Andhra Pradesh,Kurnool,Nellore,117067,Urban
India,Andhra Pradesh,Kurnool,Anantapur,118048,Urban
India,Andhra Pradesh,Kurnool,Anantapur,112245,Rural
India,Andhra Pradesh,Kurnool,Anantapur,119173,Rural
India,Andhra Pradesh,Kurnool,Anantapur,116072,Urban
India,Andhra Pradesh,Kurnool,Anantapur,117927,Urban
India,Andhra Pradesh,Kurnool,Anantapur,113464,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,112046,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,115551,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,112007,Rural
India,Andhra Pradesh,Kurnool,Rajahmundry,112928,Rural
India,Andhra Pradesh,Kurnool,Rajahmundry,117031,Urban
India,Andhra Pradesh,Kurnool,Rajahmundry,111848,Urban
India,Andhra Pradesh,Kurnool,Rajahmundry,114742,Urban
India,Andhra Pradesh,Kurnool,Kadapa,116350,Urban
India,Andhra Pradesh,Kurnool,Kadapa,110285,Rural
India,Andhra Pradesh,Kurnool,Kadapa,115696,Urban
India,Andhra Pradesh,Kurnool,Kadapa,116469,Urban
India,Andhra Pradesh,Kurnool,Kadapa,116464,Rural
India,Andhra Pradesh,Kurnool,Kadapa,116828,Urban
India,Andhra Pradesh,Kurnool,Kadapa,117176,Urban
India,Andhra Pradesh,Kurnool,Kadapa,112403,Rural
India,Andhra Pradesh,Kurnool,Eluru,113440,Urban
India,Andhra Pradesh,Kurnool,Eluru,115727,Urban
India,Andhra Pradesh,Kurnool,Eluru,119833,Rural
India,Andhra Pradesh,Kurnool,Eluru,114529,Rural
India,Andhra Pradesh,Kurnool,Eluru,112815,Urban
India,Andhra Pradesh,Kurnool,Chittoor,118766,Urban
India,Andhra Pradesh,Kurnool,Chittoor,112917,Urban
India,Andhra Pradesh,Kurnool,Chittoor,119279,Urban
India,Andhra Pradesh,Kurnool,Chittoor,118271,Rural
India,Andhra Pradesh,Kurnool,Chittoor,110678,Urban
India,Andhra Pradesh,Kurnool,Chittoor,110747,Urban
India,Andhra Pradesh,Kurnool,Chittoor,113526,Urban
India,Andhra Pradesh,Kurnool,Vijayawada,119106,Urban
India,Andhra Pradesh,Kurnool,Vijayawada,111661,Rural
India,Andhra Pradesh,Kurnool,Nandyal,115052,Urban
India,Andhra Pradesh,Kurnool,Nandyal,111238,Urban
India,Andhra Pradesh,Kurnool,Hindupur,110930,Rural
India,Andhra Pradesh,Kurnool,Hindupur,114606,Rural
India,Andhra Pradesh,Kurnool,Hindupur,119943,Urban
India,Andhra Pradesh,Kurnool,Hindupur,110966,Rural
India,Andhra Pradesh,Kurnool,Hindupur,115846,Rural
India,Andhra Pradesh,Prakasam,Kakinada,119279,Urban
India,Andhra Pradesh,Prakasam,Kakinada,118645,Rural
India,Andhra Pradesh,Prakasam,Kakinada,116316,Urban
India,Andhra Pradesh,Prakasam,Kakinada,110807,Urban
India,Andhra Pradesh,Prakasam,Kakinada,110588,Rural
India,Andhra Pradesh,Prakasam,Kakinada,113009,Urban
India,Andhra Pradesh,Prakasam,Kakinada,113059,Urban
India,Andhra Pradesh,Prakasam,Kakinada,111293,Rural
India,Andhra Pradesh,Prakasam,Adoni,115882,Urban
India,Andhra Pradesh,Prakasam,Adoni,114902,Urban
India,Andhra Pradesh,Prakasam,Adoni,118348,Rural
India,Andhra Pradesh,Prakasam,Adoni,115510,Rural
India,Andhra Pradesh,Prakasam,Rajahmundry,114604,Urban
India,Andhra Pradesh,Prakasam,Rajahmundry,115992,Rural
India,Andhra Pradesh,Prakasam,Rajahmundry,111490,Urban
India,Andhra Pradesh,Prakasam,Kadapa,116482,Urban
India,Andhra Pradesh,Prakasam,Kadapa,116136,Urban
India,Andhra Pradesh,Prakasam,Kadapa,117170,Urban
India,Andhra Pradesh,Prakasam,Kadapa,114590,Rural
India,Andhra Pradesh,Prakasam,Kadapa,114239,Urban
India,Andhra Pradesh,Prakasam,Kadapa,117709,Urban
India,Andhra Pradesh,Prakasam,Kadapa,111354,Urban
India,Andhra Pradesh,Prakasam,Kadapa,117556,Urban
India,Andhra Pradesh,Prakasam,Proddatur,112614,Urban
India,Andhra Pradesh,Prakasam,Proddatur,113684,Urban
India,Andhra Pradesh,Prakasam,Proddatur,112377,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,117274,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,119902,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,114214,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,116330,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,114834,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,119541,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,115562,Urban
India,Andhra Pradesh,Prakasam,Nandyal,117500,Rural
India,Andhra Pradesh,Prakasam,Nandyal,114249,Urban
India,Andhra Pradesh,Prakasam,Nandyal,110787,Rural
India,Andhra Pradesh,Prakasam,Nandyal,115750,Urban
India,Andhra Pradesh,Prakasam,Nandyal,114585,Urban
India,Andhra Pradesh,Prakasam,Nandyal,118445,Urban
India,Andhra Pradesh,Prakasam,Nandyal,110318,Urban
India,Andhra Pradesh,Prakasam,Nandyal,116772,Urban
India,Andhra Pradesh,Prakasam,Chittoor,116721,Rural
India,Andhra Pradesh,Prakasam,Chittoor,118829,Rural
India,Andhra Pradesh,Prakasam,Chittoor,112362,Urban
India,Andhra Pradesh,Prakasam,Chittoor,114796,Urban
India,Andhra Pradesh,Prakasam,Chittoor,111662,Urban
India,Andhra Pradesh,Prakasam,Chittoor,117901,Urban
India,Andhra Pradesh,Prakasam,Chittoor,116265,Urban
India,Andhra Pradesh,Prakasam,Chittoor,112001,Urban
India,Andhra Pradesh,Prakasam,Vijayawada,111099,Rural
India,Andhra Pradesh,Prakasam,Vijayawada,114834,Urban
India,Andhra Pradesh,Prakasam,Vijayawada,119246,Urban
India,Andhra Pradesh,Prakasam,Vijayawada,116251,Rural
India,Andhra Pradesh,Prakasam,Vijayawada,112383,Urban
India,Andhra Pradesh,Nellore,Kakinada,115380,Urban
India,Andhra Pradesh,Nellore,Kakinada,110794,Urban
India,Andhra Pradesh,Nellore,Kadapa,118924,Urban
India,Andhra Pradesh,Nellore,Kadapa,112637,Urban
India,Andhra Pradesh,Nellore,Kadapa,119970,Urban
India,Andhra Pradesh,Nellore,Kadapa,118078,Rural
India,Andhra Pradesh,Nellore,Kadapa,117789,Urban
India,Andhra Pradesh,Nellore,Kadapa,111989,Urban
India,Andhra Pradesh,Nellore,Vijayawada,116371,Urban
India,Andhra Pradesh,Nellore,Vijayawada,115426,Urban
India,Andhra Pradesh,Nellore,Hindupur,118018,Rural
India,Andhra Pradesh,Nellore,Hindupur,114663,Urban
India,Andhra Pradesh,Nellore,Hindupur,110955,Rural
India,Andhra Pradesh,Nellore,Tenali,113143,Urban
India,Andhra Pradesh,Nellore,Tenali,110995,Urban
India,Andhra Pradesh,Nellore,Tenali,118599,Rural
India,Andhra Pradesh,Nellore,Tirupati,114538,Urban
India,Andhra Pradesh,Nellore,Tirupati,116940,Urban
India,Andhra Pradesh,Nellore,Tirupati,114607,Rural
India,Andhra Pradesh,Nellore,Tirupati,110746,Urban
India,Andhra Pradesh,Nellore,Tirupati,110268,Urban
India,Andhra Pradesh,Nellore,Ongole,116503,Urban
India,Andhra Pradesh,Nellore,Ongole,113467,Urban
India,Andhra Pradesh,Nellore,Ongole,117214,Urban
India,Andhra Pradesh,Nellore,Ongole,114081,Rural
India,Andhra Pradesh,Nellore,Ongole,113230,Rural
India,Andhra Pradesh,Nellore,Kurnool,114816,Urban
India,Andhra Pradesh,Nellore,Kurnool,115026,Rural
India,Andhra Pradesh,Nellore,Kurnool,111854,Urban
India,Andhra Pradesh,Nellore,Kurnool,118065,Rural
India,Andhra Pradesh,Nellore,Kurnool,114763,Rural
India,Andhra Pradesh,Nellore,Kurnool,112426,Rural
India,Andhra Pradesh,Nellore,Kurnool,111078,Urban
India,Andhra Pradesh,Nellore,Rajahmundry,116384,Urban
India,Andhra Pradesh,Nellore,Rajahmundry,117461,Urban
India,Andhra Pradesh,Nellore,Rajahmundry,111102,Rural
India,Andhra Pradesh,Nellore,Chittoor,112800,Urban
India,Andhra Pradesh,Nellore,Chittoor,119188,Urban
India,Andhra Pradesh,Nellore,Chittoor,117730,Urban
India,Andhra Pradesh,Nellore,Chittoor,114011,Rural
India,Andhra Pradesh,Nellore,Chittoor,116089,Rural
India,Andhra Pradesh,Nellore,Chittoor,119294,Urban
India,Andhra Pradesh,Nellore,Chittoor,119097,Urban
India,Andhra Pradesh,Nellore,Proddatur,113397,Urban
India,Andhra Pradesh,Nellore,Proddatur,119484,Urban
India,Andhra Pradesh,Nellore,Proddatur,116641,Rural
India,Andhra Pradesh,Nellore,Proddatur,118590,Urban
India,Andhra Pradesh,Nellore,Proddatur,112194,Urban
India,Andhra Pradesh,Nellore,Proddatur,111377,Urban
India,Andhra Pradesh,Nellore,Proddatur,110585,Urban
India,Andhra Pradesh,Nellore,Proddatur,113909,Urban
India,Andhra Pradesh,Nellore,Guntur,117846,Rural
India,Andhra Pradesh,Nellore,Guntur,114768,Urban
India,Andhra Pradesh,Nellore,Guntur,110171,Urban
India,Andhra Pradesh,Nellore,Guntur,114982,Urban
India,Andhra Pradesh,Nellore,Guntur,113547,Urban
India,Andhra Pradesh,Nellore,Guntur,118695,Rural
India,Andhra Pradesh,Nellore,Eluru,117978,Rural
India,Andhra Pradesh,Nellore,Eluru,111160,Urban
India,Andhra Pradesh,Nellore,Eluru,110883,Rural
India,Andhra Pradesh,Nellore,Eluru,118250,Rural
India,Andhra Pradesh,Nellore,Eluru,110470,Urban
India,Andhra Pradesh,Nellore,Eluru,110957,Urban
India,Andhra Pradesh,Nellore,Eluru,114073,Urban
India,Andhra Pradesh,Nellore,Nellore,115159,Urban
India,Andhra Pradesh,Nellore,Nellore,117098,Urban
India,Andhra Pradesh,Nellore,Nellore,114532,Urban
India,Andhra Pradesh,Nellore,Nellore,116740,Urban
India,Andhra Pradesh,Nellore,Nellore,110086,Rural
India,Andhra Pradesh,Nellore,Machilipatnam,111991,Urban
India,Andhra Pradesh,Nellore,Machilipatnam,116418,Urban
India,Andhra Pradesh,Nellore,Machilipatnam,119715,Rural
India,Andhra Pradesh,Srikakulam,Eluru,119534,Rural
India,Andhra Pradesh,Srikakulam,Eluru,119609,Rural
India,Andhra Pradesh,Srikakulam,Eluru,111328,Urban
India,Andhra Pradesh,Srikakulam,Eluru,110004,Urban
India,Andhra Pradesh,Srikakulam,Eluru,111135,Urban
India,Andhra Pradesh,Srikakulam,Eluru,114086,Urban
India,Andhra Pradesh,Srikakulam,Kakinada,114413,Urban
India,Andhra Pradesh,Srikakulam,Kakinada,115612,Urban
India,Andhra Pradesh,Srikakulam,Kakinada,116861,Urban
India,Andhra Pradesh,Srikakulam,Kakinada,110422,Rural
India,Andhra Pradesh,Srikakulam,Kakinada,116798,Urban
India,Andhra Pradesh,Srikakulam,Kakinada,110885,Urban
India,Andhra Pradesh,Srikakulam,Tenali,110971,Urban
India,Andhra Pradesh,Srikakulam,Tenali,114956,Urban
India,Andhra Pradesh,Srikakulam,Nandyal,115959,Urban
India,Andhra Pradesh,Srikakulam,Nandyal,119751,Urban
India,Andhra Pradesh,Srikakulam,Nandyal,113941,Rural
India,Andhra Pradesh,Srikakulam,Nandyal,118900,Urban
India,Andhra Pradesh,Srikakulam,Nandyal,116855,Urban
India,Andhra Pradesh,Srikakulam,Nandyal,114204,Urban
India,Andhra Pradesh,Srikakulam,Machilipatnam,117495,Urban
India,Andhra Pradesh,Srikakulam,Machilipatnam,119043,Urban
India,Andhra Pradesh,Srikakulam,Machilipatnam,113567,Urban
India,Andhra Pradesh,Visakhapatnam,Machilipatnam,112056,Urban
India,Andhra Pradesh,Visakhapatnam,Machilipatnam,118918,Rural
India,Andhra Pradesh,Visakhapatnam,Machilipatnam,110847,Urban
India,Andhra Pradesh,Visakhapatnam,Machilipatnam,116766,Rural
India,Andhra Pradesh,Visakhapatnam,Anantapur,115563,Urban
India,Andhra Pradesh,Visakhapatnam,Anantapur,115116,Urban
India,Andhra Pradesh,Visakhapatnam,Anantapur,113383,Urban
India,Andhra Pradesh,Visakhapatnam,Tenali,118472,Rural
India,Andhra Pradesh,Visakhapatnam,Tenali,113339,Rural
India,Andhra Pradesh,Visakhapatnam,Proddatur,114020,Urban
India,Andhra Pradesh,Visakhapatnam,Proddatur,112499,Urban
India,Andhra Pradesh,Visakhapatnam,Nandyal,112755,Urban
India,Andhra Pradesh,Visakhapatnam,Nandyal,118863,Rural
India,Andhra Pradesh,Visakhapatnam,Chittoor,119724,Urban
India,Andhra Pradesh,Visakhapatnam,Chittoor,112762,Urban
India,Andhra Pradesh,Visakhapatnam,Chittoor,115191,Urban
India,Andhra Pradesh,Visakhapatnam,Chittoor,114429,Urban
India,Andhra Pradesh,Visakhapatnam,Chittoor,113370,Urban
India,Andhra Pradesh,Visakhapatnam,Chittoor,115111,Urban
India,Andhra Pradesh,Visakhapatnam,Hindupur,114184,Rural
India,Andhra Pradesh,Visakhapatnam,Hindupur,110980,Urban
India,Andhra Pradesh,Visakhapatnam,Adoni,111132,Rural
India,Andhra Pradesh,Visakhapatnam,Adoni,114061,Rural
India,Andhra Pradesh,Visakhapatnam,Adoni,112415,Urban
India,Andhra Pradesh,Visakhapatnam,Adoni,115732,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,110831,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,113351,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,112438,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,119749,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,119050,Rural
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,116103,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,114709,Urban
India,Andhra Pradesh,Visakhapatnam,Visakhapatnam,113017,Rural
India,Andhra Pradesh,Visakhapatnam,Ongole,115628,Urban
