Country,State,District,City,Area,Pincode,Property_Type,Avg_Price_Per_SqFt_INR,Urban_Rural
India,Andhra Pradesh,Chittoor,Eluru,Anand Vihar,113681,Apartment,5117,Urban
India,Andhra Pradesh,Chittoor,Eluru,Amar Colony,119847,Plot,2538,Rural
India,Andhra Pradesh,Chittoor,Eluru,Arjun Nagar,119087,Apartment,6654,Urban
India,Andhra Pradesh,Chittoor,Eluru,Balaji Layout,116676,Independent House,9338,Urban
India,Andhra Pradesh,Chittoor,Eluru,Bharat Nagar,112280,Plot,10347,Urban
India,Andhra Pradesh,Chittoor,Eluru,Chanakya Puri,112289,Plot,1900,Rural
India,Andhra Pradesh,Chittoor,Vijayawada,Dayal Colony,116837,Plot,8894,Urban
India,Andhra Pradesh,Chittoor,Vijayawada,Gautam Nagar,111687,Duplex,4207,Urban
India,Andhra Pradesh,Chittoor,Kurnool,Hari Nagar,118427,Duplex,2188,Rural
India,Andhra Pradesh,Chittoor,Kurnool,Jain Colony,114413,Independent House,3044,Rural
India,Andhra Pradesh,Chittoor,Kurnool,Kiran Vihar,112070,Apartment,11356,Urban
India,Andhra Pradesh,Chittoor,Kurnool,Laxman Nagar,110608,Villa,1833,Rural
India,Andhra Pradesh,Chittoor,Kurnool,Moti Nagar,117054,Apartment,10655,Urban
India,Andhra Pradesh,Chittoor,Kurnool,Nirman Vihar,116205,Plot,10099,Urban
India,Andhra Pradesh,Chittoor,Kurnool,Om Nagar,113188,Villa,10686,Urban
India,Andhra Pradesh,Chittoor,Kurnool,Paschim Vihar,110075,Villa,10841,Urban
India,Andhra Pradesh,Chittoor,Nellore,Purva Colony,110830,Plot,4325,Urban
India,Andhra Pradesh,Chittoor,Nellore,Raghav Layout,116341,Plot,7971,Urban
India,Andhra Pradesh,Chittoor,Nellore,Satya Nagar,117696,Plot,8165,Urban
India,Andhra Pradesh,Chittoor,Nellore,Uday Park,110821,Independent House,9077,Urban
India,Andhra Pradesh,East Godavari,Kadapa,Vijay Nagar,110876,Independent House,7641,Urban
India,Andhra Pradesh,East Godavari,Kadapa,Yogi Colony,118910,Independent House,2620,Rural
India,Andhra Pradesh,East Godavari,Kadapa,Prakash Nagar,115434,Independent House,5403,Urban
India,Andhra Pradesh,East Godavari,Kadapa,Shanti Nagar,115721,Plot,2895,Rural
India,Andhra Pradesh,East Godavari,Kadapa,Keshav Nagar,113186,Duplex,2880,Rural
India,Andhra Pradesh,East Godavari,Nellore,Mahavir Nagar,117117,Villa,11132,Urban
India,Andhra Pradesh,East Godavari,Nellore,Radha Krishna Colony,112531,Independent House,10718,Urban
India,Andhra Pradesh,East Godavari,Nellore,Shankar Nagar,112018,Apartment,7192,Urban
India,Andhra Pradesh,East Godavari,Nellore,Srinivasa Layout,118892,Independent House,10871,Urban
India,Andhra Pradesh,East Godavari,Nellore,Vasant Vihar,118947,Duplex,9900,Urban
India,Andhra Pradesh,East Godavari,Nellore,Chandra Layout,113033,Duplex,6065,Urban
India,Andhra Pradesh,East Godavari,Nellore,Surya Nagar,119583,Independent House,4700,Urban
India,Andhra Pradesh,East Godavari,Nellore,Prabhat Colony,112925,Apartment,8590,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Usha Nagar,119860,Apartment,11491,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Ravi Shankar Nagar,112812,Villa,7133,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Sai Nagar,112982,Independent House,1922,Rural
India,Andhra Pradesh,East Godavari,Tirupati,Industrial Area,110122,Plot,11427,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Vivekananda Colony,110963,Villa,10016,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Doctors Colony,113579,Independent House,8539,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Port Area,113529,Apartment,11070,Urban
India,Andhra Pradesh,East Godavari,Tirupati,Railway Road,111630,Apartment,8791,Urban
India,Andhra Pradesh,East Godavari,Anantapur,Baoli Colony,114417,Duplex,8235,Urban
India,Andhra Pradesh,East Godavari,Anantapur,Teen Murti,116735,Plot,8847,Urban
India,Andhra Pradesh,East Godavari,Anantapur,Meadows,119079,Apartment,1796,Rural
India,Andhra Pradesh,East Godavari,Anantapur,South Area,110352,Independent House,4395,Urban
India,Andhra Pradesh,East Godavari,Anantapur,Bypass Road,119777,Plot,8529,Urban
India,Andhra Pradesh,East Godavari,Proddatur,Mall Road,119741,Apartment,10339,Urban
India,Andhra Pradesh,East Godavari,Proddatur,Hostel Area,114120,Independent House,7978,Urban
India,Andhra Pradesh,East Godavari,Proddatur,Saraswati Colony,119252,Duplex,7128,Urban
India,Andhra Pradesh,East Godavari,Proddatur,Nandanvan,113291,Apartment,11242,Urban
India,Andhra Pradesh,East Godavari,Hindupur,Vidya Nagar,118870,Independent House,6755,Urban
India,Andhra Pradesh,East Godavari,Hindupur,New Town,116812,Duplex,8629,Urban
India,Andhra Pradesh,Guntur,Ongole,Rajaji Nagar,115793,Duplex,9971,Urban
India,Andhra Pradesh,Guntur,Ongole,Tech Zone,116008,Apartment,7116,Urban
India,Andhra Pradesh,Guntur,Ongole,Laxman Nagar,111417,Plot,3225,Rural
India,Andhra Pradesh,Guntur,Ongole,Galli,114453,Villa,4699,Urban
India,Andhra Pradesh,Guntur,Ongole,Valley View,110878,Independent House,4306,Urban
India,Andhra Pradesh,Guntur,Ongole,Canal Road,119503,Duplex,2931,Rural
India,Andhra Pradesh,Guntur,Ongole,Teachers Colony,118189,Independent House,3115,Rural
India,Andhra Pradesh,Guntur,Guntur,Greater Kailash,110898,Apartment,8562,Urban
India,Andhra Pradesh,Guntur,Guntur,Sarojini Nagar,116982,Villa,9587,Urban
India,Andhra Pradesh,Guntur,Guntur,Upvan,115876,Villa,9941,Urban
India,Andhra Pradesh,Guntur,Guntur,Teen Colony,110086,Apartment,7566,Urban
India,Andhra Pradesh,Guntur,Guntur,Pushpak Nagar,119106,Apartment,9988,Urban
India,Andhra Pradesh,Guntur,Vijayawada,Commercial Street,117264,Villa,8710,Urban
India,Andhra Pradesh,Guntur,Vijayawada,Institute Road,110015,Plot,4434,Urban
India,Andhra Pradesh,Guntur,Vijayawada,Chhe Road,119407,Apartment,7303,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,Gymkhana,119959,Independent House,9635,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,Albert Road,111783,Villa,5254,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,Anna Nagar,112651,Plot,3821,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,Temple Road,113471,Independent House,2091,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,Officers Colony,110531,Duplex,2687,Rural
India,Andhra Pradesh,Guntur,Machilipatnam,Vasant Vihar,119150,Duplex,9002,Urban
India,Andhra Pradesh,Guntur,Machilipatnam,Jawaharlal Layout,116451,Independent House,9897,Urban
India,Andhra Pradesh,Guntur,Kurnool,Crossroads,110370,Duplex,3339,Rural
India,Andhra Pradesh,Guntur,Kurnool,Okhla,114405,Villa,11861,Urban
India,Andhra Pradesh,Guntur,Kakinada,MG Road,113283,Apartment,8073,Urban
India,Andhra Pradesh,Guntur,Kakinada,Palm Grove,111574,Duplex,9854,Urban
India,Andhra Pradesh,Guntur,Kakinada,Ek Nagar,111411,Independent House,3866,Rural
India,Andhra Pradesh,Guntur,Kakinada,Kiran Vihar,115239,Duplex,10456,Urban
India,Andhra Pradesh,Guntur,Kakinada,Kalkaji,111502,Plot,2683,Rural
India,Andhra Pradesh,Guntur,Kakinada,Rajiv Nagar,115518,Apartment,4420,Urban
India,Andhra Pradesh,Krishna,Tenali,Nehru Place,116909,Duplex,5880,Urban
India,Andhra Pradesh,Krishna,Tenali,Garden Colony,119911,Duplex,3290,Rural
India,Andhra Pradesh,Krishna,Kurnool,Ravi Nagar,110132,Duplex,9788,Urban
India,Andhra Pradesh,Krishna,Kurnool,City Centre,116495,Duplex,7109,Urban
India,Andhra Pradesh,Krishna,Kurnool,Nirman Vihar,114718,Duplex,3054,Rural
India,Andhra Pradesh,Krishna,Visakhapatnam,Panchavati,111283,Plot,5072,Urban
India,Andhra Pradesh,Krishna,Visakhapatnam,Chowk,117859,Independent House,11493,Urban
India,Andhra Pradesh,Krishna,Visakhapatnam,Lakshmi Nagar,118985,Plot,1508,Rural
India,Andhra Pradesh,Krishna,Vijayawada,Police Colony,116800,Independent House,10758,Urban
India,Andhra Pradesh,Krishna,Vijayawada,Dargah Road,113004,Apartment,5171,Urban
India,Andhra Pradesh,Krishna,Vijayawada,Kalkaji Extension,118553,Independent House,6805,Urban
India,Andhra Pradesh,Krishna,Vijayawada,Landmark Colony,112437,Duplex,11522,Urban
India,Andhra Pradesh,Krishna,Vijayawada,Tulip Avenue,110790,Duplex,11768,Urban
India,Andhra Pradesh,Krishna,Vijayawada,Mohalla,112959,Villa,8813,Urban
India,Andhra Pradesh,Krishna,Anantapur,East Extension,118630,Villa,8172,Urban
India,Andhra Pradesh,Krishna,Anantapur,Haveli Area,118742,Independent House,10124,Urban
India,Andhra Pradesh,Krishna,Anantapur,Purva Colony,117901,Independent House,10790,Urban
India,Andhra Pradesh,Krishna,Anantapur,Theater Street,110842,Apartment,10795,Urban
India,Andhra Pradesh,Krishna,Anantapur,Hill View,112284,Independent House,6615,Urban
India,Andhra Pradesh,Krishna,Anantapur,Valley Road,116251,Plot,2474,Rural
India,Andhra Pradesh,Krishna,Anantapur,Mali Colony,113642,Apartment,10593,Urban
India,Andhra Pradesh,Krishna,Anantapur,Business District,119889,Duplex,3411,Rural
India,Andhra Pradesh,Krishna,Nellore,Elite Colony,112369,Plot,10771,Urban
India,Andhra Pradesh,Krishna,Nellore,Krishi Colony,118670,Villa,11693,Urban
India,Andhra Pradesh,Krishna,Nellore,DDA Colony,112642,Villa,1728,Rural
India,Andhra Pradesh,Krishna,Nellore,Math Area,114565,Apartment,6504,Urban
India,Andhra Pradesh,Krishna,Nellore,Krishna Colony,112978,Apartment,7943,Urban
India,Andhra Pradesh,Krishna,Nellore,Kuan Road,116863,Duplex,3767,Rural
India,Andhra Pradesh,Krishna,Nellore,Gandhi Nagar,114943,Villa,8216,Urban
India,Andhra Pradesh,Krishna,Nellore,Club Road,110842,Villa,8093,Urban
India,Andhra Pradesh,Krishna,Proddatur,Pura,110065,Independent House,1552,Rural
India,Andhra Pradesh,Krishna,Proddatur,Inner Circle,118873,Duplex,8593,Urban
India,Andhra Pradesh,Krishna,Proddatur,Laxmi Bai Nagar,115982,Apartment,2588,Rural
India,Andhra Pradesh,Krishna,Proddatur,Kunj,116828,Villa,5917,Urban
India,Andhra Pradesh,Krishna,Proddatur,Van,111790,Independent House,11900,Urban
India,Andhra Pradesh,Krishna,Kakinada,Bridge Area,118843,Plot,9612,Urban
India,Andhra Pradesh,Krishna,Kakinada,Basti,119481,Duplex,3847,Rural
India,Andhra Pradesh,Krishna,Kakinada,Gautam Nagar,112358,Plot,11740,Urban
India,Andhra Pradesh,Krishna,Kakinada,Lotus Colony,112033,Duplex,6800,Urban
India,Andhra Pradesh,Krishna,Kakinada,Saat Number,110884,Villa,8450,Urban
India,Andhra Pradesh,Krishna,Kakinada,Aath Bazaar,117794,Plot,1689,Rural
India,Andhra Pradesh,Krishna,Kakinada,Paradise Colony,117944,Apartment,6057,Urban
India,Andhra Pradesh,Kurnool,Adoni,Lajpat Nagar,119397,Villa,6556,Urban
India,Andhra Pradesh,Kurnool,Adoni,Court Road,110116,Villa,1949,Rural
India,Andhra Pradesh,Kurnool,Adoni,Seaface,116223,Plot,10794,Urban
India,Andhra Pradesh,Kurnool,Adoni,Vishnu Puram,119622,Villa,10074,Urban
India,Andhra Pradesh,Kurnool,Nellore,Green Park,117058,Apartment,3292,Rural
India,Andhra Pradesh,Kurnool,Nellore,Vaishali,116015,Independent House,10868,Urban
India,Andhra Pradesh,Kurnool,Nellore,Radha Krishna Colony,118476,Apartment,2529,Rural
India,Andhra Pradesh,Kurnool,Nellore,Indira Nagar,117067,Apartment,7412,Urban
India,Andhra Pradesh,Kurnool,Anantapur,Gramin Colony,118048,Apartment,6734,Urban
India,Andhra Pradesh,Kurnool,Anantapur,Park Road,112245,Independent House,3112,Rural
India,Andhra Pradesh,Kurnool,Anantapur,Ring Road,119173,Independent House,2946,Rural
India,Andhra Pradesh,Kurnool,Anantapur,Jain Colony,116072,Independent House,6301,Urban
India,Andhra Pradesh,Kurnool,Anantapur,Campus Road,117927,Plot,5216,Urban
India,Andhra Pradesh,Kurnool,Anantapur,Sarita Vihar,113464,Duplex,9020,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,Panch Rasta Area,112046,Villa,10115,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,Bus Stand Area,115551,Independent House,10088,Urban
India,Andhra Pradesh,Kurnool,Visakhapatnam,Yogi Colony,112007,Villa,2027,Rural
India,Andhra Pradesh,Kurnool,Rajahmundry,Stadium Road,112928,Plot,3102,Rural
India,Andhra Pradesh,Kurnool,Rajahmundry,Lohiya Nagar,117031,Villa,10914,Urban
India,Andhra Pradesh,Kurnool,Rajahmundry,Shanti Nagar,111848,Villa,8833,Urban
India,Andhra Pradesh,Kurnool,Rajahmundry,Auto Stand,114742,Plot,5328,Urban
India,Andhra Pradesh,Kurnool,Kadapa,Khan Market,116350,Plot,7063,Urban
India,Andhra Pradesh,Kurnool,Kadapa,Do Pura,110285,Plot,2043,Rural
India,Andhra Pradesh,Kurnool,Kadapa,Mahavir Nagar,115696,Apartment,7502,Urban
India,Andhra Pradesh,Kurnool,Kadapa,Journalists Colony,116469,Independent House,6478,Urban
India,Andhra Pradesh,Kurnool,Kadapa,Defence Colony,116464,Duplex,3882,Rural
India,Andhra Pradesh,Kurnool,Kadapa,Char Bagh,116828,Independent House,7892,Urban
India,Andhra Pradesh,Kurnool,Kadapa,Bara Bazar,117176,Villa,4865,Urban
India,Andhra Pradesh,Kurnool,Kadapa,South Extension,112403,Villa,2836,Rural
India,Andhra Pradesh,Kurnool,Eluru,Secretariat Road,113440,Apartment,11506,Urban
India,Andhra Pradesh,Kurnool,Eluru,Saat Rasta,115727,Plot,10846,Urban
India,Andhra Pradesh,Kurnool,Eluru,Paltan Bazaar,119833,Duplex,2094,Rural
India,Andhra Pradesh,Kurnool,Eluru,Crystal Garden,114529,Villa,1513,Rural
India,Andhra Pradesh,Kurnool,Eluru,Usha Nagar,112815,Duplex,4567,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Highland Park,118766,Plot,8515,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Sai Nagar,112917,Villa,10404,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Monastery Road,119279,Villa,11891,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Purab Colony,118271,Apartment,2778,Rural
India,Andhra Pradesh,Kurnool,Chittoor,Cinema Road,110678,Apartment,8893,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Masjid Area,110747,Independent House,6937,Urban
India,Andhra Pradesh,Kurnool,Chittoor,Recreation Ground,113526,Independent House,5392,Urban
India,Andhra Pradesh,Kurnool,Vijayawada,Central Zone,119106,Duplex,9308,Urban
India,Andhra Pradesh,Kurnool,Vijayawada,Shiksha Nagar,111661,Independent House,3158,Rural
India,Andhra Pradesh,Kurnool,Nandyal,Civil Lines,115052,Plot,8027,Urban
India,Andhra Pradesh,Kurnool,Nandyal,Creek Area,111238,Plot,6864,Urban
India,Andhra Pradesh,Kurnool,Hindupur,Chandra Layout,110930,Apartment,2496,Rural
India,Andhra Pradesh,Kurnool,Hindupur,Kamala Nagar,114606,Apartment,3936,Rural
India,Andhra Pradesh,Kurnool,Hindupur,Char Imli,119943,Plot,4292,Urban
India,Andhra Pradesh,Kurnool,Hindupur,Prince Road,110966,Apartment,3504,Rural
India,Andhra Pradesh,Kurnool,Hindupur,Ram Nagar,115846,Apartment,2258,Rural
India,Andhra Pradesh,Prakasam,Kakinada,Vrindavan Colony,119279,Villa,4669,Urban
India,Andhra Pradesh,Prakasam,Kakinada,Export Zone,118645,Villa,2693,Rural
India,Andhra Pradesh,Prakasam,Kakinada,East Avenue,116316,Independent House,8417,Urban
India,Andhra Pradesh,Prakasam,Kakinada,Civil Lines,110807,Apartment,5879,Urban
India,Andhra Pradesh,Prakasam,Kakinada,East Park,110588,Plot,3700,Rural
India,Andhra Pradesh,Prakasam,Kakinada,East Extension,113009,Independent House,9527,Urban
India,Andhra Pradesh,Prakasam,Kakinada,West Avenue,113059,Plot,4169,Urban
India,Andhra Pradesh,Prakasam,Kakinada,Cantonment,111293,Apartment,3283,Rural
India,Andhra Pradesh,Prakasam,Adoni,West Park,115882,Apartment,6011,Urban
India,Andhra Pradesh,Prakasam,Adoni,West Extension,114902,Independent House,4282,Urban
India,Andhra Pradesh,Prakasam,Adoni,North Avenue,118348,Plot,3413,Rural
India,Andhra Pradesh,Prakasam,Adoni,Old City,115510,Apartment,2304,Rural
India,Andhra Pradesh,Prakasam,Rajahmundry,North Park,114604,Villa,6701,Urban
India,Andhra Pradesh,Prakasam,Rajahmundry,North Extension,115992,Plot,3607,Rural
India,Andhra Pradesh,Prakasam,Rajahmundry,South Avenue,111490,Villa,6477,Urban
India,Andhra Pradesh,Prakasam,Kadapa,New Town,116482,Apartment,5648,Urban
India,Andhra Pradesh,Prakasam,Kadapa,South Park,116136,Duplex,10768,Urban
India,Andhra Pradesh,Prakasam,Kadapa,South Extension,117170,Duplex,7007,Urban
India,Andhra Pradesh,Prakasam,Kadapa,Central Avenue,114590,Apartment,3975,Rural
India,Andhra Pradesh,Prakasam,Kadapa,City Centre,114239,Villa,4045,Urban
India,Andhra Pradesh,Prakasam,Kadapa,Central Park,117709,Villa,10172,Urban
India,Andhra Pradesh,Prakasam,Kadapa,Central Extension,111354,Apartment,8566,Urban
India,Andhra Pradesh,Prakasam,Kadapa,Civil Lines,117556,Independent House,6970,Urban
India,Andhra Pradesh,Prakasam,Proddatur,Cantonment,112614,Villa,8960,Urban
India,Andhra Pradesh,Prakasam,Proddatur,Old Town,113684,Plot,9621,Urban
India,Andhra Pradesh,Prakasam,Proddatur,New Town,112377,Villa,8891,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,City Centre,117274,Duplex,4790,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,Model Town,119902,Apartment,9891,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,Railway Colony,114214,Independent House,7381,Urban
India,Andhra Pradesh,Prakasam,Bhimavaram,Collectorate Area,116330,Plot,2499,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,Court Area,114834,Apartment,3399,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,Secretariat,119541,Plot,3321,Rural
India,Andhra Pradesh,Prakasam,Bhimavaram,Gandhi Nagar,115562,Independent House,6909,Urban
India,Andhra Pradesh,Prakasam,Nandyal,Nehru Nagar,117500,Apartment,3618,Rural
India,Andhra Pradesh,Prakasam,Nandyal,Ambedkar Nagar,114249,Villa,7416,Urban
India,Andhra Pradesh,Prakasam,Nandyal,Rajaji Nagar,110787,Apartment,1713,Rural
India,Andhra Pradesh,Prakasam,Nandyal,Anna Nagar,115750,Independent House,4506,Urban
India,Andhra Pradesh,Prakasam,Nandyal,Subhash Nagar,114585,Plot,9400,Urban
