City,Area,PropertyType,Size,Bedrooms,Bathrooms,YearBuilt,Age,AmenitiesCount,Price
Bangalore,Marathahalli,Villa,3586,2,2,2011,13,7,40561406
Delhi,Dwarka,Apartment,1238,2,1,2013,11,7,12405975
Bangalore,Koramangala,Studio,660,1,1,2012,12,0,5811604
Delhi,Saket,Studio,676,1,1,2018,6,1,7559680
Pune,Magarpatta,Independent House,1222,2,1,2011,13,0,9083674
Chennai,Koyambedu,Villa,4563,3,3,2018,6,0,56427930
Bangalore,Indiranagar,Independent House,1680,2,2,2015,9,4,17895427
Bangalore,Yelahanka,Apartment,2107,3,2,2020,4,0,23380063
Chennai,Adyar,Penthouse,1421,3,2,2016,8,0,10256398
Delhi,Saket,Builder Floor,2047,5,5,2015,9,4,23788997
Delhi,Lajpat Nagar,Apartment,1987,2,1,2020,4,4,27094454
Pune,Baner,Studio,628,1,1,2016,8,3,4292149
Delhi,Lajpat Nagar,Independent House,2474,3,3,2019,5,4,30955668
Pune,Hinjewadi,Apartment,1614,2,2,2022,2,1,11056633
Bangalore,Electronic City,Independent House,2928,3,2,2015,9,0,23395924
Bangalore,Koramangala,Builder Floor,2683,2,1,2015,9,4,23456755
Bangalore,Electronic City,Independent House,1954,3,3,2015,9,6,15346546
Delhi,Dwarka,Villa,4687,3,3,2015,9,4,65701552
Bangalore,Electronic City,Independent House,2218,3,2,2016,8,2,20111254
Chennai,Adyar,Villa,4701,2,1,2011,13,2,47141267
Chennai,Adyar,Villa,4528,4,3,2021,3,8,44907224
Hyderabad,Hitech City,Builder Floor,2331,3,2,2015,9,1,14413411
Delhi,Lajpat Nagar,Apartment,1192,3,3,2012,12,4,13930784
Mumbai,Goregaon,Independent House,1756,2,1,2017,7,5,59386341
Delhi,Rohini,Studio,545,1,1,2020,4,3,5157604
Chennai,Adyar,Penthouse,1454,5,5,2021,3,6,11123851
Pune,Magarpatta,Villa,2149,2,1,2019,5,6,26628035
Hyderabad,Gachibowli,Independent House,1442,3,2,2016,8,0,10192576
Pune,Baner,Apartment,2015,3,3,2015,9,3,16520408
Hyderabad,Madhapur,Independent House,1200,3,2,2021,3,7,11001087
Hyderabad,Jubilee Hills,Penthouse,1794,2,1,2023,1,7,15349853
Hyderabad,Madhapur,Builder Floor,1360,3,2,2021,3,3,11428520
Delhi,Dwarka,Apartment,2464,4,3,2014,10,0,23286117
Hyderabad,Jubilee Hills,Penthouse,1566,2,2,2018,6,3,13210619
Chennai,Anna Nagar,Independent House,2932,2,1,2014,10,4,22953971
Chennai,Anna Nagar,Independent House,1578,2,2,2020,4,1,11227641
Bangalore,Indiranagar,Builder Floor,1016,3,3,2020,4,2,11242013
Bangalore,Whitefield,Independent House,2636,2,1,2022,2,8,22090812
Mumbai,Juhu,Builder Floor,2683,2,1,2010,14,2,100488895
Delhi,Vasant Kunj,Independent House,1953,3,3,2011,13,8,21604340
Hyderabad,Kondapur,Apartment,2448,4,3,2014,10,7,16448742
Delhi,Lajpat Nagar,Independent House,2037,2,1,2014,10,0,22991349
Chennai,OMR,Independent House,2297,1,1,2020,4,1,24530337
Hyderabad,Gachibowli,Independent House,2017,5,5,2011,13,1,12838197
Pune,Kothrud,Independent House,2281,2,2,2013,11,4,16254956
Hyderabad,Madhapur,Villa,4773,5,4,2010,14,8,46416529
Chennai,T. Nagar,Penthouse,2814,2,1,2020,4,8,21704510
Bangalore,Indiranagar,Independent House,2871,1,1,2011,13,3,25768080
Bangalore,Indiranagar,Villa,2964,3,2,2020,4,8,45484035
Delhi,Vasant Kunj,Penthouse,2040,3,3,2022,2,6,25252225
Bangalore,Marathahalli,Villa,4548,3,2,2022,2,7,62034574
Bangalore,HSR Layout,Independent House,1006,2,2,2021,3,3,9147186
Mumbai,Andheri West,Builder Floor,2402,2,1,2010,14,8,76077851
Mumbai,Goregaon,Villa,2901,3,2,2023,1,7,166796908
Chennai,T. Nagar,Studio,404,1,1,2016,8,7,3355175
Pune,Hinjewadi,Apartment,2401,4,3,2010,14,6,16158446
Hyderabad,Gachibowli,Apartment,2185,4,3,2023,1,6,16111443
Chennai,OMR,Penthouse,1423,2,1,2013,11,6,12117329
Chennai,Anna Nagar,Penthouse,1588,3,2,2012,12,6,10695238
Pune,Kothrud,Builder Floor,2729,4,3,2012,12,5,21785339
Mumbai,Goregaon,Builder Floor,1611,3,3,2021,3,1,54824188
Hyderabad,Banjara Hills,Builder Floor,1201,1,1,2015,9,7,8769777
Bangalore,Electronic City,Studio,443,1,1,2013,11,8,3183086
Mumbai,Lower Parel,Builder Floor,2952,3,2,2023,1,1,101558189
Hyderabad,Hitech City,Independent House,1117,3,3,2011,13,4,7126679
Delhi,Greater Kailash,Studio,697,1,1,2020,4,8,8038658
Delhi,Saket,Independent House,2452,3,3,2020,4,8,29138259
Chennai,T. Nagar,Builder Floor,2942,3,2,2022,2,2,25913707
Bangalore,Electronic City,Builder Floor,1226,2,1,2010,14,0,9035688
Hyderabad,Madhapur,Apartment,1716,2,1,2012,12,7,12292551
Hyderabad,Kondapur,Builder Floor,1898,2,2,2022,2,3,14971360
Hyderabad,Gachibowli,Villa,2937,3,2,2010,14,3,22737158
Delhi,Lajpat Nagar,Studio,573,1,1,2020,4,3,6509722
Delhi,Vasant Kunj,Penthouse,2471,2,1,2016,8,2,25994112
Mumbai,Juhu,Builder Floor,1030,4,4,2018,6,7,37681790
Hyderabad,Jubilee Hills,Penthouse,2366,4,4,2011,13,8,17917559
Bangalore,Marathahalli,Penthouse,1611,2,2,2021,3,3,14601089
Bangalore,Koramangala,Penthouse,2265,2,1,2011,13,7,20756337
Hyderabad,Gachibowli,Independent House,1732,3,3,2023,1,7,12343610
Bangalore,Whitefield,Apartment,2012,3,3,2017,7,3,16093213
Pune,Wakad,Studio,553,1,1,2016,8,6,3539620
Hyderabad,Banjara Hills,Independent House,2382,1,1,2017,7,1,15494118
Chennai,Adyar,Penthouse,1983,3,2,2019,5,4,16187075
Chennai,Velachery,Apartment,1661,2,1,2022,2,6,15296980
Pune,Kothrud,Independent House,1853,3,2,2015,9,0,15828008
Hyderabad,Kondapur,Villa,3868,3,3,2012,12,4,37031911
Hyderabad,Madhapur,Independent House,1835,1,1,2015,9,2,15101015
Hyderabad,Hitech City,Penthouse,2122,3,2,2016,8,5,15664737
Pune,Wakad,Penthouse,2162,3,2,2019,5,1,15468219
Bangalore,Koramangala,Apartment,2196,3,3,2016,8,6,22324100
Mumbai,Worli,Penthouse,2974,4,3,2011,13,5,91547495
Chennai,T. Nagar,Penthouse,1066,4,4,2011,13,5,7695903
Hyderabad,Gachibowli,Builder Floor,2970,3,3,2023,1,6,20192327
Pune,Viman Nagar,Penthouse,1662,2,1,2023,1,4,13539776
Mumbai,Juhu,Villa,4555,2,2,2012,12,4,216454857
Chennai,Adyar,Independent House,2027,3,3,2017,7,7,14094171
Delhi,Greater Kailash,Apartment,1301,2,2,2010,14,3,15463335
Chennai,Anna Nagar,Builder Floor,1592,3,3,2011,13,8,10612285
Mumbai,Goregaon,Studio,573,1,1,2017,7,3,18577053
Mumbai,Juhu,Apartment,1896,2,1,2011,13,1,69300076
Delhi,Rohini,Builder Floor,1012,3,2,2015,9,4,9890416
Chennai,Medavakkam,Builder Floor,2781,3,3,2023,1,3,27068974
Chennai,Velachery,Builder Floor,1043,1,1,2018,6,0,8006242
Chennai,Medavakkam,Independent House,2068,3,3,2021,3,6,19818459
Delhi,Lajpat Nagar,Independent House,1912,3,3,2018,6,0,24968604
Pune,Baner,Penthouse,1913,3,2,2013,11,3,15174133
Pune,Kothrud,Independent House,1779,1,1,2014,10,3,14778045
Hyderabad,Kondapur,Penthouse,1676,2,1,2012,12,4,13038950
Delhi,Vasant Kunj,Studio,799,1,1,2015,9,6,8313499
Delhi,Greater Kailash,Apartment,1367,1,1,2015,9,1,16304879
Pune,Hinjewadi,Studio,744,1,1,2017,7,7,4959627
Hyderabad,Kondapur,Penthouse,2863,2,1,2023,1,5,23129046
Pune,Kothrud,Studio,466,1,1,2022,2,8,3732874
Bangalore,Yelahanka,Independent House,2035,2,1,2023,1,0,22572466
Delhi,Vasant Kunj,Apartment,1444,2,1,2019,5,5,16721587
Chennai,Velachery,Villa,2330,2,1,2020,4,0,28285395
Hyderabad,Kondapur,Apartment,1482,2,2,2019,5,6,12122481
Pune,Baner,Builder Floor,2871,3,3,2014,10,7,21846828
Hyderabad,Banjara Hills,Apartment,1206,1,1,2018,6,0,8001052
Mumbai,Bandra,Penthouse,1158,4,4,2016,8,5,34282977
Mumbai,Worli,Apartment,848,2,1,2023,1,8,33078266
Delhi,Rohini,Apartment,821,3,3,2019,5,5,8633192
Bangalore,Marathahalli,Villa,2176,3,3,2015,9,6,26631073
Delhi,Vasant Kunj,Builder Floor,1216,4,4,2019,5,6,15733468
Delhi,Lajpat Nagar,Penthouse,2050,3,2,2012,12,2,25256348
Bangalore,Electronic City,Independent House,1933,2,1,2012,12,5,14939628
Bangalore,Koramangala,Villa,3244,3,3,2022,2,5,49299404
Pune,Magarpatta,Apartment,1180,1,1,2017,7,6,11588704
Chennai,Velachery,Builder Floor,2102,2,2,2019,5,3,18365085
Pune,Viman Nagar,Builder Floor,2696,2,2,2022,2,5,25520145
Hyderabad,Madhapur,Studio,617,1,1,2013,11,6,4998405
Delhi,Lajpat Nagar,Villa,2398,3,2,2013,11,0,36903974
Delhi,Dwarka,Penthouse,1833,4,3,2019,5,0,20752903
Pune,Viman Nagar,Apartment,1924,5,4,2019,5,1,15732535
Chennai,Porur,Penthouse,1055,1,1,2022,2,3,11449971
Mumbai,Powai,Studio,590,1,1,2016,8,3,18132411
Bangalore,Koramangala,Builder Floor,1920,3,3,2015,9,1,18613087
Chennai,Porur,Apartment,2303,3,3,2013,11,3,21840877
Bangalore,Indiranagar,Builder Floor,1787,3,3,2018,6,4,17542683
Delhi,Lajpat Nagar,Studio,585,1,1,2014,10,0,6443172
Bangalore,Electronic City,Villa,3215,3,3,2010,14,4,33994638
Pune,Wakad,Studio,534,1,1,2023,1,1,3937737
Mumbai,Andheri West,Studio,694,1,1,2022,2,5,23040802
Bangalore,HSR Layout,Penthouse,2397,1,1,2023,1,0,21760277
Mumbai,Bandra,Builder Floor,1481,2,2,2022,2,7,53269176
Hyderabad,Hitech City,Builder Floor,1551,5,4,2015,9,2,11037995
Delhi,Greater Kailash,Studio,623,1,1,2023,1,8,7544865
Chennai,T. Nagar,Studio,583,1,1,2011,13,1,3871333
Hyderabad,Gachibowli,Penthouse,2224,3,3,2019,5,2,14733491
Bangalore,Koramangala,Apartment,1194,2,2,2010,14,1,10744692
Pune,Hinjewadi,Builder Floor,2874,3,3,2018,6,2,20128955
Bangalore,Yelahanka,Villa,2294,3,3,2010,14,5,28962056
Chennai,Koyambedu,Independent House,2063,2,1,2012,12,5,18043518
Chennai,OMR,Studio,481,1,1,2014,10,3,4329279
Pune,Magarpatta,Independent House,1414,2,1,2011,13,3,12447175
Hyderabad,Jubilee Hills,Independent House,1585,3,3,2013,11,8,11839654
Hyderabad,Hitech City,Builder Floor,2411,3,3,2020,4,5,16104503
Chennai,Velachery,Builder Floor,1837,1,1,2019,5,2,16316206
Delhi,Saket,Penthouse,2094,4,4,2015,9,1,21258556
Pune,Hinjewadi,Apartment,1997,2,1,2013,11,0,13909119
Delhi,Dwarka,Builder Floor,1642,3,2,2021,3,8,17957916
Hyderabad,Madhapur,Penthouse,2665,1,1,2014,10,8,20178514
Bangalore,Indiranagar,Penthouse,2895,3,3,2011,13,0,28045969
Hyderabad,Madhapur,Builder Floor,2370,3,3,2019,5,5,21609026
Hyderabad,Gachibowli,Penthouse,1118,2,1,2018,6,2,6837757
Mumbai,Andheri West,Studio,637,1,1,2019,5,7,17400425
Pune,Hinjewadi,Penthouse,2775,1,1,2015,9,7,18473899
Pune,Magarpatta,Apartment,1045,2,1,2016,8,3,9629046
Bangalore,Yelahanka,Penthouse,2712,3,2,2018,6,6,28096590
Chennai,Koyambedu,Independent House,1207,3,2,2018,6,4,10945347
Bangalore,Electronic City,Penthouse,1630,2,1,2010,14,6,12718896
Chennai,Koyambedu,Penthouse,2530,2,1,2015,9,0,19407612
Bangalore,Yelahanka,Studio,744,1,1,2018,6,0,7445581
Delhi,Rohini,Independent House,1269,4,4,2011,13,4,11747635
Pune,Baner,Villa,3907,2,1,2012,12,7,38165579
Delhi,Dwarka,Penthouse,2744,3,3,2023,1,3,31282723
Mumbai,Bandra,Independent House,2619,2,2,2015,9,2,87157793
Mumbai,Worli,Villa,4230,2,1,2015,9,2,194081102
Hyderabad,Gachibowli,Studio,755,1,1,2018,6,6,4949729
Chennai,Medavakkam,Builder Floor,2627,3,3,2020,4,3,26699680
Pune,Kothrud,Builder Floor,2122,2,2,2015,9,6,17011551
Delhi,Rohini,Independent House,1819,2,2,2012,12,4,17617194
Pune,Viman Nagar,Apartment,876,2,1,2023,1,5,8113895
Delhi,Rohini,Apartment,1081,4,4,2017,7,8,12599314
Bangalore,Indiranagar,Studio,589,1,1,2020,4,8,6138380
Pune,Magarpatta,Independent House,2364,4,3,2013,11,8,18845351
Delhi,Saket,Studio,548,1,1,2023,1,0,6397319
Chennai,Koyambedu,Studio,415,1,1,2018,6,7,3585665
Bangalore,HSR Layout,Apartment,2032,1,1,2011,13,4,18003812
Bangalore,Marathahalli,Studio,733,1,1,2013,11,4,5739096
Delhi,Greater Kailash,Apartment,2391,2,1,2015,9,8,28998345
Delhi,Greater Kailash,Builder Floor,1044,4,3,2011,13,0,13128540
Mumbai,Juhu,Independent House,2890,3,2,2020,4,2,120500255
Chennai,T. Nagar,Builder Floor,1613,2,2,2022,2,3,13491408
Mumbai,Bandra,Independent House,2214,3,3,2022,2,8,72482762
Chennai,Koyambedu,Builder Floor,2798,1,1,2014,10,6,22008328
Pune,Wakad,Studio,738,1,1,2011,13,8,5118342
Pune,Hinjewadi,Studio,601,1,1,2022,2,2,4187165
Bangalore,Indiranagar,Penthouse,2635,2,1,2013,11,8,27672404
Hyderabad,Madhapur,Studio,603,1,1,2013,11,1,4133606
Pune,Baner,Penthouse,2472,5,4,2019,5,8,18627655
Pune,Kothrud,Villa,2252,4,4,2018,6,5,26875983
Bangalore,Indiranagar,Penthouse,1179,2,1,2023,1,4,13658787
Delhi,Vasant Kunj,Studio,505,1,1,2021,3,5,5322340
Pune,Magarpatta,Penthouse,1829,4,3,2019,5,0,15743235
Chennai,Velachery,Studio,542,1,1,2018,6,6,4143214
Chennai,Anna Nagar,Independent House,2027,1,1,2023,1,5,17731519
Bangalore,Whitefield,Villa,4856,3,2,2013,11,8,56054461
Mumbai,Goregaon,Builder Floor,2579,2,1,2022,2,0,88925822
Pune,Hinjewadi,Builder Floor,2953,2,1,2015,9,2,19947843
Bangalore,Electronic City,Studio,791,1,1,2023,1,8,6474986
Chennai,T. Nagar,Independent House,1376,5,5,2020,4,1,11533286
Bangalore,HSR Layout,Studio,424,1,1,2017,7,1,3368911
Delhi,Greater Kailash,Independent House,2255,1,1,2014,10,3,27980047
Bangalore,Whitefield,Studio,740,1,1,2018,6,4,4975227
Pune,Kothrud,Apartment,1254,3,3,2013,11,0,9226413
Hyderabad,Jubilee Hills,Builder Floor,1103,3,2,2012,12,1,7936855
Chennai,Medavakkam,Studio,720,1,1,2022,2,1,5620549
Chennai,Medavakkam,Apartment,1635,2,2,2020,4,3,14497528
Bangalore,Electronic City,Builder Floor,1711,3,2,2014,10,5,12933751
Chennai,Velachery,Studio,728,1,1,2011,13,0,4898993
Hyderabad,Banjara Hills,Studio,569,1,1,2020,4,1,3763774
Delhi,Greater Kailash,Builder Floor,2783,3,3,2014,10,4,33633949
Hyderabad,Madhapur,Villa,4841,2,2,2019,5,7,57767668
Pune,Magarpatta,Apartment,1362,3,3,2015,9,2,12091839
Mumbai,Goregaon,Builder Floor,2884,3,3,2021,3,8,107928050
Hyderabad,Gachibowli,Apartment,2465,2,1,2021,3,7,17732475
Delhi,Greater Kailash,Builder Floor,1406,3,2,2015,9,2,17378707
Bangalore,Koramangala,Apartment,1160,2,2,2022,2,1,12233333
Mumbai,Bandra,Studio,594,1,1,2017,7,1,16513870
Pune,Wakad,Studio,589,1,1,2013,11,1,3556808
Chennai,Medavakkam,Penthouse,2657,3,2,2013,11,7,22087064
Mumbai,Andheri West,Independent House,2274,2,2,2012,12,1,62687207
Bangalore,Koramangala,Penthouse,2069,1,1,2020,4,6,19413020
Chennai,Porur,Villa,4935,3,2,2023,1,7,68787406
Bangalore,Whitefield,Studio,472,1,1,2022,2,0,3644027
Hyderabad,Hitech City,Builder Floor,1627,3,2,2023,1,8,12919470
Bangalore,Electronic City,Independent House,1855,4,4,2011,13,7,16166811
Pune,Viman Nagar,Independent House,2944,2,1,2016,8,1,26628886
Hyderabad,Hitech City,Apartment,2255,2,1,2019,5,2,14362575
Pune,Hinjewadi,Builder Floor,1280,3,2,2016,8,1,8669982
Mumbai,Andheri West,Villa,4313,4,4,2015,9,7,203851568
Bangalore,Marathahalli,Builder Floor,1998,1,1,2023,1,8,19126541
Hyderabad,Madhapur,Apartment,2462,3,3,2019,5,7,21705650
Chennai,Medavakkam,Studio,697,1,1,2020,4,0,6101517
Chennai,T. Nagar,Independent House,2652,3,3,2011,13,3,21522045
Hyderabad,Kondapur,Penthouse,1532,1,1,2012,12,1,10580922
Pune,Baner,Apartment,1734,4,3,2013,11,3,13566219
Chennai,OMR,Penthouse,2729,3,2,2016,8,4,25715653
Pune,Wakad,Apartment,2434,4,3,2016,8,4,19304992
Mumbai,Juhu,Studio,781,1,1,2013,11,2,24032510
Delhi,Dwarka,Independent House,2937,3,2,2012,12,6,29169363
Bangalore,Indiranagar,Villa,4533,4,3,2018,6,3,67679110
Hyderabad,Madhapur,Independent House,2482,2,1,2021,3,1,19895519
Hyderabad,Banjara Hills,Independent House,1643,2,2,2014,10,6,11162148
Chennai,Medavakkam,Independent House,1580,3,2,2021,3,3,16277348
Hyderabad,Banjara Hills,Villa,3753,4,3,2015,9,3,34833480
Delhi,Vasant Kunj,Studio,579,1,1,2013,11,3,5730809
Chennai,T. Nagar,Penthouse,2403,2,1,2012,12,8,19963462
Chennai,Adyar,Builder Floor,1431,2,1,2010,14,6,10457972
Mumbai,Andheri West,Studio,637,1,1,2015,9,7,18876026
Delhi,Rohini,Villa,3625,2,1,2013,11,2,55076395
Delhi,Greater Kailash,Studio,514,1,1,2022,2,5,6777808
Bangalore,Yelahanka,Penthouse,2210,2,2,2013,11,0,22368793
Bangalore,Indiranagar,Penthouse,2940,2,1,2021,3,7,30026087
Bangalore,Yelahanka,Villa,3149,3,3,2023,1,0,45334845
Delhi,Vasant Kunj,Apartment,1411,4,3,2013,11,2,14829365
Delhi,Vasant Kunj,Builder Floor,1283,3,3,2019,5,3,16449115
Chennai,Koyambedu,Villa,4484,3,2,2016,8,5,55383441
Chennai,Medavakkam,Independent House,1523,4,3,2020,4,2,14545613
Pune,Wakad,Villa,3372,3,3,2010,14,6,29609582
Chennai,OMR,Penthouse,1385,4,4,2014,10,2,12964695
Pune,Kothrud,Penthouse,1811,1,1,2014,10,0,13576140
Mumbai,Worli,Penthouse,2918,4,4,2021,3,8,104369453
Delhi,Lajpat Nagar,Studio,574,1,1,2014,10,7,6962019
Mumbai,Juhu,Penthouse,2771,3,2,2019,5,2,99818479
Delhi,Lajpat Nagar,Penthouse,2966,3,3,2018,6,6,35827635
Delhi,Lajpat Nagar,Villa,3755,3,2,2013,11,3,57343741
Delhi,Saket,Villa,3427,3,2,2011,13,8,49712100
Mumbai,Bandra,Studio,471,1,1,2015,9,3,12847541
Mumbai,Worli,Penthouse,2830,3,3,2014,10,0,94928141
Delhi,Rohini,Studio,770,1,1,2023,1,0,8694716
Chennai,Medavakkam,Independent House,1673,4,4,2019,5,4,16684775
Hyderabad,Kondapur,Apartment,1486,3,3,2019,5,1,12489139
Hyderabad,Jubilee Hills,Villa,2773,3,3,2012,12,0,26921444
Mumbai,Goregaon,Penthouse,2864,3,2,2023,1,6,114975394
Chennai,Velachery,Villa,4481,2,2,2015,9,5,48084482
Hyderabad,Hitech City,Apartment,2069,4,4,2013,11,0,13361807
Chennai,Koyambedu,Independent House,2118,2,1,2013,11,3,17270606
Delhi,Greater Kailash,Builder Floor,2349,4,3,2020,4,4,31339882
Bangalore,Koramangala,Penthouse,2825,2,2,2015,9,6,27622912
Mumbai,Bandra,Villa,3238,5,5,2019,5,6,143194832
Pune,Hinjewadi,Studio,560,1,1,2013,11,5,3649965
Hyderabad,Jubilee Hills,Independent House,2051,5,5,2018,6,1,16021017
Mumbai,Worli,Apartment,1866,4,3,2019,5,7,70287996
Delhi,Rohini,Builder Floor,2706,3,2,2022,2,4,31692136
Chennai,Anna Nagar,Villa,3809,3,2,2021,3,0,43158900
Delhi,Dwarka,Builder Floor,2577,3,2,2016,8,7,27030536
Delhi,Dwarka,Apartment,2499,2,1,2016,8,3,27336737
Chennai,Anna Nagar,Independent House,2670,5,4,2023,1,7,24057218
Mumbai,Lower Parel,Independent House,2649,3,2,2010,14,7,78009595
Hyderabad,Banjara Hills,Apartment,1859,2,2,2013,11,6,14239319
Delhi,Rohini,Villa,2560,2,2,2015,9,4,40402771
Delhi,Saket,Builder Floor,1779,2,2,2020,4,1,20711092
Chennai,Velachery,Villa,3738,4,4,2014,10,7,38324885
Hyderabad,Kondapur,Penthouse,1329,2,1,2016,8,1,10692543
Chennai,Adyar,Studio,524,1,1,2018,6,2,3701655
Chennai,T. Nagar,Independent House,1287,4,4,2014,10,4,9780552
Hyderabad,Kondapur,Builder Floor,2547,3,2,2018,6,4,19505657
Delhi,Lajpat Nagar,Studio,418,1,1,2019,5,2,4618795
Chennai,Adyar,Apartment,1307,5,5,2010,14,7,9089651
Chennai,T. Nagar,Apartment,1639,1,1,2013,11,2,13540914
Hyderabad,Jubilee Hills,Apartment,1046,2,2,2012,12,4,7144178
Chennai,Koyambedu,Apartment,2431,1,1,2017,7,4,19983749
Mumbai,Goregaon,Apartment,2124,2,1,2019,5,3,83679010
Bangalore,Electronic City,Studio,511,1,1,2011,13,2,3688061
Bangalore,Indiranagar,Penthouse,2363,1,1,2020,4,0,23446862
Mumbai,Juhu,Independent House,2228,3,2,2022,2,8,86406341
Bangalore,HSR Layout,Independent House,1337,3,2,2020,4,6,11563384
Mumbai,Goregaon,Studio,775,1,1,2019,5,5,23804989
Bangalore,Electronic City,Builder Floor,1556,4,3,2010,14,0,11357629
Pune,Viman Nagar,Studio,543,1,1,2017,7,3,4450778
Mumbai,Lower Parel,Independent House,1719,3,3,2012,12,2,54080594
Mumbai,Lower Parel,Villa,2548,1,1,2012,12,7,97805078
Pune,Hinjewadi,Builder Floor,2512,4,4,2022,2,5,17529127
Pune,Magarpatta,Apartment,1214,3,3,2013,11,1,9284863
Mumbai,Juhu,Apartment,2333,2,1,2010,14,2,79117357
Mumbai,Bandra,Independent House,1595,2,2,2017,7,2,55150246
Delhi,Dwarka,Independent House,2765,1,1,2015,9,4,29945997
Bangalore,HSR Layout,Villa,4590,2,2,2013,11,8,57328292
Bangalore,Koramangala,Penthouse,1380,4,4,2019,5,7,12857121
